id,u_dise_code,psp_code,aadhar_number,student_name,father_name,mother_name,dob,gender,social_category,religion,mother_tongue,rural_urban,habitation_or_locality,date_of_admission,admission_number,belong_to_bpl,belong_to_disadvantaged_group,getting_free_education,studying_in_class,class_studied_in_prev_year,status_of_previous_year,days_child_attended_school,medium_of_instruction,type_of_disablity,facilities_received_by_cwsn,no_of_uniform_sets,free_text_books,free_transport,free_escort,mdm_beneficiary,free_hostel_facility,child_attended_special_training,child_is_homeless,appeard,passed,percentage_marks,stream_grades_11_n_12,trade_sector_grades_9_to_12,iron_n_folic_acid,deworming_tablets,vitamin_a_supplement,mobile_number,email_address,free_bicycle
11,9828784536,111,8.73E+11,Deepesh Sathe ,Urvashi Harjo ,Vimala Madan ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1011,YES,YES,NOT APPLIC,5,4,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
12,9828784536,112,8.73E+11,Chandni D’Alia ,Julie Rama ,Akshay Parmar ,4/7/1995,BOY,SC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1012,YES,YES,NOT APPLIC,5,4,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
13,9828784536,113,8.73E+11,Swati Agarwal ,Manoj Vaidya ,Sneha Konda ,4/7/1995,BOY,OBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1013,YES,YES,NOT APPLIC,6,5,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
14,9828784536,114,8.73E+11,Nidhi Doshi ,Rehman Babu ,Rashid Dutta ,4/7/1995,BOY,SBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1014,YES,YES,NOT APPLIC,6,5,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
15,9828784536,115,8.73E+11,Prerna Mathur ,Nitin Krishna ,Pranay Zachariah ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1015,YES,YES,NOT APPLIC,7,6,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
16,9828784536,116,8.73E+11,Aayushi Kari ,Nitika Date ,Nilima Divan ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1016,YES,YES,NOT APPLIC,7,6,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
17,9828784536,117,8.73E+11,Bijoy Kamdar ,Kiran Sampath ,Shobha Balakrishnan ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1017,YES,YES,NOT APPLIC,8,7,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
18,9828784536,118,8.73E+11,Hanuman Kumer ,Tarun Srivastava ,Himanshu Arya ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1018,YES,YES,NOT APPLIC,8,7,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
19,9828784536,119,8.73E+11,Devendra Minhas ,Varun Jhaveri ,Seema Goyal ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1019,YES,YES,NOT APPLIC,9,8,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
20,9828784536,120,8.73E+11,Surya Persaud ,Jagat Ghose ,Juhi Nagarajan ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1020,YES,YES,NOT APPLIC,9,8,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
21,9828784536,121,8.73E+11,Ragini Kalla ,Basanti Usman ,Gulab Char ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1021,YES,YES,NOT APPLIC,10,9,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
22,9828784536,122,8.73E+11,Anusha Lal ,Rosey Gaba ,Nitin Das ,4/7/1995,BOY,SC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1022,YES,YES,NOT APPLIC,10,9,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
23,9828784536,123,8.73E+11,Diya Chakrabarti ,Gayatri Sandal ,Abbas Shukla ,4/7/1995,BOY,OBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1023,YES,YES,NOT APPLIC,11,10,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
24,9828784536,124,8.73E+11,Arun Tank ,Radhe Dua ,Bhaagyasree Shah ,4/7/1995,BOY,SBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1024,YES,YES,NOT APPLIC,11,10,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
25,9828784536,125,8.73E+11,Binita Raman ,Rashid De ,Lalita Kaur ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1025,YES,YES,NOT APPLIC,12,11,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
26,9828784536,126,8.73E+11,Hema Kapoor ,Pranab Chahal ,Aarif Maheshwari ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1026,YES,YES,NOT APPLIC,12,11,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
27,9828784536,127,8.73E+11,Binita Chad ,Manish Tak ,Aabha Bir ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1027,YES,YES,NOT APPLIC,PP.3+,NONE,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
28,9828784536,128,8.73E+11,Isha Chokshi ,Lakshmi Dodiya ,Elias Ben ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1028,YES,YES,NOT APPLIC,PP.3+,NONE,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
29,9828784536,129,8.73E+11,Kajal Borde ,Megha Kala ,Radha Sengupta ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1029,YES,YES,NOT APPLIC,PP.5+,PP.4+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
30,9828784536,130,8.73E+11,Kalpit Meka ,Trishana Sane ,Riddhi Sinha ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1030,YES,YES,NOT APPLIC,PP.5+,PP.4+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
31,9828784536,131,8.73E+11,Mustafa Dayal ,Dipti Dar ,Supriya Narang ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1031,YES,YES,NOT APPLIC,PP.4+,PP.3+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
32,9828784536,132,8.73E+11,Raj Sankar ,Geetanjali Nagar ,Upasana Yogi ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1032,YES,YES,NOT APPLIC,PP.4+,PP.3+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
33,9828784536,133,8.73E+11,Raghavan Chahal ,Qabeel Gara ,Roma Dugar ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1033,YES,YES,NOT APPLIC,1,PP.5+,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
34,9828784536,134,8.73E+11,Tejaswani Chad ,Jack Yohannan ,Pinky Venkatesh ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1034,YES,YES,NOT APPLIC,2,1,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
35,9828784536,135,8.73E+11,Mukti Nagy ,Megha Bhalla ,Kalyani Chadha ,4/7/1995,BOY,SC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1035,YES,YES,NOT APPLIC,3,2,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
36,9828784536,136,8.73E+11,Ujwal Patla ,Subhash Khosla ,Nishita Pillai ,4/7/1995,BOY,OBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1036,YES,YES,NOT APPLIC,4,3,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
37,9828784536,137,8.73E+11,Abhishek Parikh ,Balaji Deshpande ,Peter Narain ,4/7/1995,BOY,SBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1037,YES,YES,NOT APPLIC,5,4,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
38,9828784536,138,8.73E+11,Charandeep Kota ,Monin Sharma ,Kajol Sachdev ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1038,YES,YES,NOT APPLIC,5,4,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
39,9828784536,139,8.73E+11,Alex Kota ,Nazir Ramakrishnan ,Megha Chaudry ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1039,YES,YES,NOT APPLIC,6,5,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
40,9828784536,140,8.73E+11,Kiran Sem ,Hetan Murthy ,Kirti Biyani ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1040,YES,YES,NOT APPLIC,6,5,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
41,9828784536,141,8.73E+11,Runjhun Pingle ,Naseer Cheema ,Zahir Krishna ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1041,YES,YES,NOT APPLIC,7,6,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
42,9828784536,142,8.73E+11,Prabhat Rama ,Kanika Gokhale ,Diya Narayan ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1042,YES,YES,NOT APPLIC,7,6,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
43,9828784536,143,8.73E+11,Bhanupriya Mandal ,Eddie Gaba ,Fakaruddin Joshi ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1043,YES,YES,NOT APPLIC,8,7,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
44,9828784536,144,8.73E+11,Hemendra Karpe ,Owais Varty ,Nupur Sant ,4/7/1995,BOY,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1044,YES,YES,NOT APPLIC,8,7,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
45,9828784536,145,8.73E+11,Jobin Seth ,Preet Jani ,Rashid Rampersad ,4/7/1995,BOY,SC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1045,YES,YES,NOT APPLIC,9,8,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
46,9828784536,146,8.73E+11,Nandini Tank ,Aslam Jha ,Gulab Chauhan ,4/7/1995,BOY,OBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1046,YES,YES,NOT APPLIC,9,8,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
47,9828784536,147,8.73E+11,Urvashi Pingle ,Lakshmi Subramaniam ,Mini Desai ,4/7/1995,BOY,SBC,HINDU,HINDI,Rural,ANDHI,4/7/1995,1047,YES,YES,NOT APPLIC,10,9,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
48,9828784536,148,8.73E+11,Nilam De ,Faraz Grewal ,Shobha Kapur ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1048,YES,YES,NOT APPLIC,10,9,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
49,9828784536,149,8.73E+11,Heena Sagar ,Sona Sodhi ,Urmi Choudhry ,4/7/1995,GIRL,ST,HINDU,HINDI,Rural,ANDHI,4/7/1995,1049,YES,YES,NOT APPLIC,11,10,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
50,9828784536,150,8.73E+11,Amrit Mehra ,Monin Thaman ,Usman Narang ,4/7/1995,BOY,GENERAL,HINDU,HINDI,Rural,ANDHI,4/7/1995,1050,YES,YES,NOT APPLIC,11,10,NOT APPLIC,210,HINDI,NOT APPLIC,NOT APPLIC,NONE,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,NOT APPLIC,WITH PAREN,YES,YES,85,NOT APPLIC,NA,YES,NA,NA,9828784536,ujagar.singh.meena@gmail.com,no
